Report Name,Organisation Code,Organisation Name,Month,Patient Type,Value 1,Value 2,Value 3,Value 4
1. MSitAE Comparison,NLO08,SCARBOROUGH URGENT CARE CENTRE,May-20,All Patients,2595,No Data,,
1. MSitAE Comparison,NLO14,WEST MIDLANDS DOCTORS URGENT CARE,May-20,All Patients,3230,No Data,,
1. MSitAE Comparison,NLO15,YORKSHIRE DOCTORS URGENT CARE - VALE OF YORK,May-20,All Patients,2900,No Data,,
1. MSitAE Comparison,NLO21,ST MARY'S URGENT CARE CENTRE,May-20,All Patients,2705,No Data,,
1. MSitAE Comparison,NLO26,ROYAL STOKE UNIVERSITY HOSPITAL URGENT CARE CENTRE,May-20,All Patients,3790,No Data,,
1. MSitAE Comparison,NNF,CITY HEALTH CARE PARTNERSHIP CIC,May-20,All Patients,4620,No Data,,
1. MSitAE Comparison,NNJ,DHU HEALTH CARE C.I.C,May-20,All Patients,1530,309,495,
1. MSitAE Comparison,NQ106,FRYATT HOSPITAL,May-20,All Patients,70,72,-,
1. MSitAE Comparison,NQ108,CLACTON HOSPITAL,May-20,All Patients,1240,1404,88,
1. MSitAE Comparison,NQT5F,SKELMERSDALE WALK IN CENTRE,May-20,All Patients,110,111,-,
1. MSitAE Comparison,NQT5G,URGENT CARE CENTRE,May-20,All Patients,1455,No Data,,
1. MSitAE Comparison,NQT5H,PAULTON MEMORIAL HOSPITAL,May-20,All Patients,50,54,-,
1. MSitAE Comparison,NR318,SEATON HOUSE,May-20,All Patients,1790,No Data,,
1. MSitAE Comparison,NTPH1,PRACTICE PLUS GROUP HOSPITAL - SHEPTON MALLET,May-20,All Patients,490,No Data,,
1. MSitAE Comparison,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,May-20,All Patients,17980,18764,96,
1. MSitAE Comparison,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,May-20,All Patients,13495,13483,100,
1. MSitAE Comparison,R1D,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,May-20,All Patients,1625,1620,100,
1. MSitAE Comparison,R1F,ISLE OF WIGHT NHS TRUST,May-20,All Patients,1860,2905,64,
1. MSitAE Comparison,R1H,BARTS HEALTH NHS TRUST,May-20,All Patients,17560,22004,80,
1. MSitAE Comparison,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,May-20,All Patients,7480,15145,49,
1. MSitAE Comparison,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,May-20,All Patients,4900,4087,120,
1. MSitAE Comparison,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,May-20,All Patients,3595,3595,100,
1. MSitAE Comparison,RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,May-20,All Patients,7780,9878,79,
